"gbifID" "datasetKey" "kingdom" "phylum" "class" "order" "family" "genus" "species" "infraspecificEpithet" "taxonRank" "scientificName" "verbatimScientificName" "verbatimScientificNameAuthorship" "countryCode" "locality" "stateProvince" "occurrenceStatus" "individualCount" "publishingOrgKey" "decimalLatitude" "decimalLongitude" "coordinateUncertaintyInMeters" "georeferencedBy" "georeferenceSources" "georeferenceRemarks" "coordinatePrecision" "elevation" "elevationAccuracy" "depth" "depthAccuracy" "eventDate" "day" "month" "year" "taxonKey" "speciesKey" "basisOfRecord" "institutionCode" "collectionCode" "identifiedBy" "dateIdentified" "license" "rightsHolder" "recordedBy" "typeStatus" "establishmentMeans" "lastInterpreted" "mediaType" "issue"
"1" 1231078142 "7f5260c2-f762-11e1-a439-00145eb45e9a" "Plantae" "Tracheophyta" "Magnoliopsida" "Rosales" "Rhamnaceae" "Rhamnus" "Rhamnus cathartica" "caucasica" "VARIETY" "Rhamnus cathartica var. caucasica Kusn." "Rhamnus cathartica var. caucasica Kusn." NA "AM" "Arm. SSR, Ashtarak, canyon river Amberd, under the stronghold, left hand river basin. [translated from Russian]" "Aragatsotn" NA NA "4e11d750-bafb-11d9-8e53-b8a03c50a862" 40.388603 44.226401 1500 "Laura Kostyniuk" "Google Maps" NA NA NA NA NA NA "1961-08-03T00:00:00" 3 8 1961 8011823 3039491 "PRESERVED_SPECIMEN" "W" "Herbarium W" "Alijanpoor" NA "CC_BY_4_0" NA "Manakian,V. [<U+0544><U+0561><U+0576><U+0561><U+0584><U+0565><U+0561><U+0576>,<U+054E>.; <U+041C><U+0430><U+043D><U+0430><U+043A><U+044F><U+043D> <U+0412>.]" NA NA "2020-04-26T06:27:39.760Z" NA NA
"2" 1697809771 "902c8fe7-8f38-45b0-854e-c324fed36303" "Plantae" "Tracheophyta" "Magnoliopsida" "Rosales" "Rhamnaceae" "Rhamnus" "Rhamnus cathartica" NA "SPECIES" "Rhamnus cathartica L." "Rhamnus cathartica" NA "AM" NA "Aragatsotn" "present" NA "f5fc4e61-b7a0-414b-ab68-b41cb23e7fdc" 40.488314 44.347732 NA NA "gbif" NA NA NA NA NA NA "1931-07-24T00:00:00" 24 7 1931 3039491 3039491 "PRESERVED_SPECIMEN" "Moscow State University" "MW" NA NA "CC_BY_4_0" "Moscow State University" "Karyagin I. I." NA NA "2020-04-22T20:45:51.465Z" "StillImage" NA
"3" 1697809719 "902c8fe7-8f38-45b0-854e-c324fed36303" "Plantae" "Tracheophyta" "Magnoliopsida" "Rosales" "Rhamnaceae" "Rhamnus" "Rhamnus cathartica" NA "SPECIES" "Rhamnus cathartica L." "Rhamnus cathartica" NA "AM" NA "Aragatsotn" "present" NA "f5fc4e61-b7a0-414b-ab68-b41cb23e7fdc" 40.321224 43.662758 NA NA "gbif" NA NA NA NA NA NA "1931-07-28T00:00:00" 28 7 1931 3039491 3039491 "PRESERVED_SPECIMEN" "Moscow State University" "MW" NA NA "CC_BY_4_0" "Moscow State University" "Karyagin I. I." NA NA "2020-04-22T20:46:15.588Z" "StillImage" "COORDINATE_ROUNDED"
"4" 2521400064 "838475f4-f762-11e1-a439-00145eb45e9a" "Plantae" "Tracheophyta" "Magnoliopsida" "Rosales" "Rhamnaceae" "Rhamnus" "Rhamnus cathartica" NA "SPECIES" "Rhamnus cathartica L." "Rhamnus cathartica L." "L." "AM" "Abovian distr., c. 8 km NW Charentsavan, c. 2 km NW Arzakan, Aghveran gorge" "Kotayk" NA NA "6f3ccc65-0a54-4e65-ae7e-13b92d618e7c" 40.48 44.6 NA NA "gbif" NA NA 1630 0 NA NA "2002-06-28T00:00:00" 28 6 2002 3039491 3039491 "PRESERVED_SPECIMEN" "BC" "BC" NA NA "CC_BY_NC_4_0" NA "G. Fayvush & al." NA NA "2020-02-19T08:28:50.354Z" NA "GEODETIC_DATUM_ASSUMED_WGS84"
"5" 2521380652 "838475f4-f762-11e1-a439-00145eb45e9a" "Plantae" "Tracheophyta" "Magnoliopsida" "Rosales" "Rhamnaceae" "Rhamnus" "Rhamnus cathartica" NA "SPECIES" "Rhamnus cathartica L." "Rhamnus cathartica L." "L." "AM" "Abovian distr., c. 8 km NW Charentsavan, c. 2 km NW Arzakan, Aghveran gorge" "Kotayk" NA NA "6f3ccc65-0a54-4e65-ae7e-13b92d618e7c" 40.48 44.6 NA NA "gbif" NA NA 1630 0 NA NA "2002-06-28T00:00:00" 28 6 2002 3039491 3039491 "PRESERVED_SPECIMEN" "BC" "BC" NA NA "CC_BY_NC_4_0" NA "G. Fayvush & al." NA NA "2020-02-19T08:28:48.881Z" NA "GEODETIC_DATUM_ASSUMED_WGS84"
"6" 1231077847 "7f5260c2-f762-11e1-a439-00145eb45e9a" "Plantae" "Tracheophyta" "Magnoliopsida" "Rosales" "Rhamnaceae" "Rhamnus" "Rhamnus cathartica" "caucasica" "VARIETY" "Rhamnus cathartica var. caucasica Kusn." "Rhamnus cathartica var. caucasica Kusn." NA "AM" "Armenia, Kotayk province, Abovian distr., c. 8 km NW Charentsavan, c. 2 km NW Arzakan, Aghveran gorge" "Kotayk" NA NA "4e11d750-bafb-11d9-8e53-b8a03c50a862" 40.48333 44.6 NA NA "gbif" NA NA 1630 NA NA NA "2002-06-28T00:00:00" 28 6 2002 8011823 3039491 "PRESERVED_SPECIMEN" "W" "Herbarium W" "Alijanpoor" NA "CC_BY_4_0" NA "Fayvush,G. [<U+0556><U+0561><U+0575><U+057E><U+0578><U+0582><U+0577><U+056B>,<U+0533>.; <U+0424><U+0430><U+0439><U+0432><U+0443><U+0448> <U+0413>.] et al." NA NA "2020-04-26T06:27:40.004Z" NA NA
"7" 893485650 "85714c48-f762-11e1-a439-00145eb45e9a" "Plantae" "Tracheophyta" "Magnoliopsida" "Rosales" "Rhamnaceae" "Rhamnus" "Rhamnus cathartica" NA "SPECIES" "Rhamnus cathartica L." "Rhamnus cathartica L." NA "AM" "Kotayk province, Abovian distr., c. 8 km NW Charen" "Kotayk" NA NA "57254bd0-8256-11d8-b7ed-b8a03c50a862" 40.48333 44.599998 NA NA "gbif" NA NA 1630 NA NA NA "2002-06-28T00:00:00" 28 6 2002 3039491 3039491 "PRESERVED_SPECIMEN" "B" "Herbarium Berolinense" "G. Fayvush" NA "CC0_1_0" NA "Fayvush,G. [<U+0556><U+0561><U+0575><U+057E><U+0578><U+0582><U+0577><U+056B>,<U+0533>.; <U+0424><U+0430><U+0439><U+0432><U+0443><U+0448> <U+0413>.] et al." NA NA "2020-03-15T13:45:32.737Z" NA "COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84"
"8" 893485628 "85714c48-f762-11e1-a439-00145eb45e9a" "Plantae" "Tracheophyta" "Magnoliopsida" "Rosales" "Rhamnaceae" "Rhamnus" "Rhamnus cathartica" NA "SPECIES" "Rhamnus cathartica L." "Rhamnus cathartica L." NA "AM" "Kotayk province, Abovian distr., c. 8 km NW Charen" "Kotayk" NA NA "57254bd0-8256-11d8-b7ed-b8a03c50a862" 40.48333 44.599998 NA NA "gbif" NA NA 1630 NA NA NA "2002-06-28T00:00:00" 28 6 2002 3039491 3039491 "PRESERVED_SPECIMEN" "B" "Herbarium Berolinense" "G. Fayvush & al." NA "CC0_1_0" NA "Fayvush,G. [<U+0556><U+0561><U+0575><U+057E><U+0578><U+0582><U+0577><U+056B>,<U+0533>.; <U+0424><U+0430><U+0439><U+0432><U+0443><U+0448> <U+0413>.] et al." NA NA "2020-03-15T13:45:29.303Z" NA "COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84"
"9" 1697809785 "902c8fe7-8f38-45b0-854e-c324fed36303" "Plantae" "Tracheophyta" "Magnoliopsida" "Rosales" "Rhamnaceae" "Rhamnus" "Rhamnus cathartica" NA "SPECIES" "Rhamnus cathartica L." "Rhamnus cathartica" NA "AM" NA "Kotayk" "present" NA "f5fc4e61-b7a0-414b-ab68-b41cb23e7fdc" 40.532681 44.716868 5000 NA "gbif" NA NA 2200 NA NA NA "1929-06-30T00:00:00" 30 6 1929 3039491 3039491 "PRESERVED_SPECIMEN" "Moscow State University" "MW" "Identified by the collector" NA "CC_BY_4_0" "Moscow State University" "Smirnov P." NA NA "2020-04-22T20:46:15.622Z" "StillImage" NA
"10" 1231081258 "7f5260c2-f762-11e1-a439-00145eb45e9a" "Plantae" "Tracheophyta" "Magnoliopsida" "Rosales" "Rhamnaceae" "Rhamnus" "Rhamnus cathartica" "caucasica" "VARIETY" "Rhamnus cathartica var. caucasica Kusn." "Rhamnus cathartica var. caucasica Kusn." NA "AM" "Armenia, Lori province, road between Alaverdi and Tumanyan, N of Kobair, 41°02'42\"N 44° 37'39,00\"E" "Lori" NA NA "4e11d750-bafb-11d9-8e53-b8a03c50a862" 41.045 44.6275 NA NA "gbif" NA NA 780 NA NA NA "2005-05-08T00:00:00" 8 5 2005 8011823 3039491 "PRESERVED_SPECIMEN" "W" "Herbarium W" "Alijanpoor" NA "CC_BY_4_0" NA "Fayvush,G. [<U+0556><U+0561><U+0575><U+057E><U+0578><U+0582><U+0577><U+056B>,<U+0533>.; <U+0424><U+0430><U+0439><U+0432><U+0443><U+0448> <U+0413>.], Tamanyan,K., Oganesyan,M., Ter-Voskanyan,H., Staudinger,S., Staudinger,M. & Vitek,E." NA NA "2020-04-26T06:27:42.550Z" NA NA
"11" 1697809738 "902c8fe7-8f38-45b0-854e-c324fed36303" "Plantae" "Tracheophyta" "Magnoliopsida" "Rosales" "Rhamnaceae" "Rhamnus" "Rhamnus cathartica" NA "SPECIES" "Rhamnus cathartica L." "Rhamnus cathartica" NA "AM" NA "Lori" "present" NA "f5fc4e61-b7a0-414b-ab68-b41cb23e7fdc" 41.037278 44.405028 NA NA "gbif" NA NA 1950 NA NA NA "1929-08-16T00:00:00" 16 8 1929 3039491 3039491 "PRESERVED_SPECIMEN" "Moscow State University" "MW" "Identified by the collector" NA "CC_BY_4_0" "Moscow State University" "Smirnov P." NA NA "2020-04-22T20:46:15.892Z" "StillImage" "COORDINATE_ROUNDED"
"12" 1231078191 "7f5260c2-f762-11e1-a439-00145eb45e9a" "Plantae" "Tracheophyta" "Magnoliopsida" "Rosales" "Rhamnaceae" "Rhamnus" "Rhamnus cathartica" "caucasica" "VARIETY" "Rhamnus cathartica var. caucasica Kusn." "Rhamnus cathartica var. caucasica Kusn." NA "AM" "Armenia, Sjunik province, Kapan district, N Kapan, around Jeritzavank, 46°28’59\"N 39°16’56\"E" "Syunik" NA NA "4e11d750-bafb-11d9-8e53-b8a03c50a862" 39.28222 46.48306 NA NA "gbif" NA NA 1687 NA NA NA "2004-06-20T00:00:00" 20 6 2004 8011823 3039491 "PRESERVED_SPECIMEN" "W" "Herbarium W" "Alijanpoor" NA "CC_BY_4_0" NA "Fayvush,G. [<U+0556><U+0561><U+0575><U+057E><U+0578><U+0582><U+0577><U+056B>,<U+0533>.; <U+0424><U+0430><U+0439><U+0432><U+0443><U+0448> <U+0413>.], Tamanyan,K., Oganesyan,M., Ter-Voskanyan,H. & Vitek,E." NA NA "2020-04-26T06:27:42.174Z" NA NA
"13" 1231078035 "7f5260c2-f762-11e1-a439-00145eb45e9a" "Plantae" "Tracheophyta" "Magnoliopsida" "Rosales" "Rhamnaceae" "Rhamnus" "Rhamnus cathartica" "caucasica" "VARIETY" "Rhamnus cathartica var. caucasica Kusn." "Rhamnus cathartica var. caucasica Kusn." NA "AM" "Armenia, Syunik province, area SW of Goris, c. 1,5 km S of Tatev, SW of Tandzatap, small valley and slopes SW of the road [at road 1520 m, 39°22’03“N 46°14’51“E; highest point 1680 m, 39°21’46“N 46°14’54“E; farest to W 1530 m, 39°21’54“N 46°14’37“E]" "Syunik" NA NA "4e11d750-bafb-11d9-8e53-b8a03c50a862" 39.36528 46.24583 NA NA "gbif" NA NA 1600 80 NA NA "2003-07-08T00:00:00" 8 7 2003 8011823 3039491 "PRESERVED_SPECIMEN" "W" "Herbarium W" "Alijanpoor" NA "CC_BY_4_0" NA "Fayvush,G. [<U+0556><U+0561><U+0575><U+057E><U+0578><U+0582><U+0577><U+056B>,<U+0533>.; <U+0424><U+0430><U+0439><U+0432><U+0443><U+0448> <U+0413>.], Tamanyan,K., Ter-Voskanyan,H. & Vitek,E." NA NA "2020-04-26T06:27:40.031Z" NA NA
"14" 1231078073 "7f5260c2-f762-11e1-a439-00145eb45e9a" "Plantae" "Tracheophyta" "Magnoliopsida" "Rosales" "Rhamnaceae" "Rhamnus" "Rhamnus cathartica" "caucasica" "VARIETY" "Rhamnus cathartica var. caucasica Kusn." "Rhamnus cathartica var. caucasica Kusn." NA "AM" "Armenia, Syunik province, eastern part of Zangezur Mts., W of road from Goris to Kapan, valley around village Ghurdghulagh, 39°20’N 46°23-24’E" "Syunik" NA NA "4e11d750-bafb-11d9-8e53-b8a03c50a862" 39.33333 46.38333 NA NA "gbif" NA NA 1485 115 NA NA "2003-07-05T00:00:00" 5 7 2003 8011823 3039491 "PRESERVED_SPECIMEN" "W" "Herbarium W" "Alijanpoor" NA "CC_BY_4_0" NA "Fayvush,G. [<U+0556><U+0561><U+0575><U+057E><U+0578><U+0582><U+0577><U+056B>,<U+0533>.; <U+0424><U+0430><U+0439><U+0432><U+0443><U+0448> <U+0413>.], Tamanyan,K., Ter-Voskanyan,H. & Vitek,E." NA NA "2020-04-26T06:27:39.801Z" NA NA
