gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	georeferencedBy	georeferencedDate	georeferenceSources	georeferenceRemarks	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
1231078142	7f5260c2-f762-11e1-a439-00145eb45e9a		Plantae	Tracheophyta	Magnoliopsida	Rosales	Rhamnaceae	Rhamnus	Rhamnus cathartica	caucasica	VARIETY	Rhamnus cathartica var. caucasica Kusn.	Rhamnus cathartica var. caucasica Kusn.		AM	Arm. SSR, Ashtarak, canyon river Amberd, under the stronghold, left hand river basin. [translated from Russian]	Aragatsotn			4e11d750-bafb-11d9-8e53-b8a03c50a862	40.388603	44.226401	1500	Laura Kostyniuk	30/4/2020	Google Maps							1961-08-03T00:00:00	3	8	1961	8011823	3039491	PRESERVED_SPECIMEN	W	Herbarium W	2006-0007568		Alijanpoor		CC_BY_4_0		Manakian,V. [Մանաքեան,Վ.; Манакян В.]			2020-04-26T06:27:39.760Z		
1697809771	902c8fe7-8f38-45b0-854e-c324fed36303	MW0692262	Plantae	Tracheophyta	Magnoliopsida	Rosales	Rhamnaceae	Rhamnus	Rhamnus cathartica		SPECIES	Rhamnus cathartica L.	Rhamnus cathartica		AM		Aragatsotn	present		f5fc4e61-b7a0-414b-ab68-b41cb23e7fdc	40.488314	44.347732				gbif							1931-07-24T00:00:00	24	7	1931	3039491	3039491	PRESERVED_SPECIMEN	Moscow State University	MW	MW0692262				CC_BY_4_0	Moscow State University	Karyagin I. I.			2020-04-22T20:45:51.465Z	StillImage	
1697809719	902c8fe7-8f38-45b0-854e-c324fed36303	MW0692255	Plantae	Tracheophyta	Magnoliopsida	Rosales	Rhamnaceae	Rhamnus	Rhamnus cathartica		SPECIES	Rhamnus cathartica L.	Rhamnus cathartica		AM		Aragatsotn	present		f5fc4e61-b7a0-414b-ab68-b41cb23e7fdc	40.321224	43.662758				gbif							1931-07-28T00:00:00	28	7	1931	3039491	3039491	PRESERVED_SPECIMEN	Moscow State University	MW	MW0692255				CC_BY_4_0	Moscow State University	Karyagin I. I.			2020-04-22T20:46:15.588Z	StillImage	COORDINATE_ROUNDED
2521400064	838475f4-f762-11e1-a439-00145eb45e9a	f7785b6c-4b31-4b70-a081-beaed960c182	Plantae	Tracheophyta	Magnoliopsida	Rosales	Rhamnaceae	Rhamnus	Rhamnus cathartica		SPECIES	Rhamnus cathartica L.	Rhamnus cathartica L.	L.	AM	Abovian distr., c. 8 km NW Charentsavan, c. 2 km NW Arzakan, Aghveran gorge	Kotayk			6f3ccc65-0a54-4e65-ae7e-13b92d618e7c	40.48	44.6				gbif			1630	0			2002-06-28T00:00:00	28	6	2002	3039491	3039491	PRESERVED_SPECIMEN	BC	BC	BC-902371				CC_BY_NC_4_0		G. Fayvush & al.			2020-02-19T08:28:50.354Z		GEODETIC_DATUM_ASSUMED_WGS84
2521380652	838475f4-f762-11e1-a439-00145eb45e9a	61ce37bf-1ec8-4d30-8741-6b51f614b1ec	Plantae	Tracheophyta	Magnoliopsida	Rosales	Rhamnaceae	Rhamnus	Rhamnus cathartica		SPECIES	Rhamnus cathartica L.	Rhamnus cathartica L.	L.	AM	Abovian distr., c. 8 km NW Charentsavan, c. 2 km NW Arzakan, Aghveran gorge	Kotayk			6f3ccc65-0a54-4e65-ae7e-13b92d618e7c	40.48	44.6				gbif			1630	0			2002-06-28T00:00:00	28	6	2002	3039491	3039491	PRESERVED_SPECIMEN	BC	BC	BC-902357				CC_BY_NC_4_0		G. Fayvush & al.			2020-02-19T08:28:48.881Z		GEODETIC_DATUM_ASSUMED_WGS84
1231077847	7f5260c2-f762-11e1-a439-00145eb45e9a		Plantae	Tracheophyta	Magnoliopsida	Rosales	Rhamnaceae	Rhamnus	Rhamnus cathartica	caucasica	VARIETY	Rhamnus cathartica var. caucasica Kusn.	Rhamnus cathartica var. caucasica Kusn.		AM	Armenia, Kotayk province, Abovian distr., c. 8 km NW Charentsavan, c. 2 km NW Arzakan, Aghveran gorge	Kotayk			4e11d750-bafb-11d9-8e53-b8a03c50a862	40.48333	44.6				gbif			1630				2002-06-28T00:00:00	28	6	2002	8011823	3039491	PRESERVED_SPECIMEN	W	Herbarium W	2004-0005875		Alijanpoor		CC_BY_4_0		Fayvush,G. [Ֆայվուշի,Գ.; Файвуш Г.] et al.			2020-04-26T06:27:40.004Z		
893485650	85714c48-f762-11e1-a439-00145eb45e9a	http://herbarium.bgbm.org/object/B100469933	Plantae	Tracheophyta	Magnoliopsida	Rosales	Rhamnaceae	Rhamnus	Rhamnus cathartica		SPECIES	Rhamnus cathartica L.	Rhamnus cathartica L.		AM	Kotayk province, Abovian distr., c. 8 km NW Charen	Kotayk			57254bd0-8256-11d8-b7ed-b8a03c50a862	40.48333	44.599998				gbif			1630				2002-06-28T00:00:00	28	6	2002	3039491	3039491	PRESERVED_SPECIMEN	B	Herbarium Berolinense	B 10 0469933		G. Fayvush		CC0_1_0		Fayvush,G. [Ֆայվուշի,Գ.; Файвуш Г.] et al.			2020-03-15T13:45:32.737Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
893485628	85714c48-f762-11e1-a439-00145eb45e9a	http://herbarium.bgbm.org/object/B100469920	Plantae	Tracheophyta	Magnoliopsida	Rosales	Rhamnaceae	Rhamnus	Rhamnus cathartica		SPECIES	Rhamnus cathartica L.	Rhamnus cathartica L.		AM	Kotayk province, Abovian distr., c. 8 km NW Charen	Kotayk			57254bd0-8256-11d8-b7ed-b8a03c50a862	40.48333	44.599998				gbif			1630				2002-06-28T00:00:00	28	6	2002	3039491	3039491	PRESERVED_SPECIMEN	B	Herbarium Berolinense	B 10 0469920		G. Fayvush & al.		CC0_1_0		Fayvush,G. [Ֆայվուշի,Գ.; Файвуш Г.] et al.			2020-03-15T13:45:29.303Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
1697809785	902c8fe7-8f38-45b0-854e-c324fed36303	MW0692259	Plantae	Tracheophyta	Magnoliopsida	Rosales	Rhamnaceae	Rhamnus	Rhamnus cathartica		SPECIES	Rhamnus cathartica L.	Rhamnus cathartica		AM		Kotayk	present		f5fc4e61-b7a0-414b-ab68-b41cb23e7fdc	40.532681	44.716868	5000			gbif			2200				1929-06-30T00:00:00	30	6	1929	3039491	3039491	PRESERVED_SPECIMEN	Moscow State University	MW	MW0692259	309	Identified by the collector		CC_BY_4_0	Moscow State University	Smirnov P.			2020-04-22T20:46:15.622Z	StillImage	
1231081258	7f5260c2-f762-11e1-a439-00145eb45e9a		Plantae	Tracheophyta	Magnoliopsida	Rosales	Rhamnaceae	Rhamnus	Rhamnus cathartica	caucasica	VARIETY	Rhamnus cathartica var. caucasica Kusn.	Rhamnus cathartica var. caucasica Kusn.		AM	Armenia, Lori province, road between Alaverdi and Tumanyan, N of Kobair, 41°02'42"N 44° 37'39,00"E	Lori			4e11d750-bafb-11d9-8e53-b8a03c50a862	41.045	44.6275				gbif			780				2005-05-08T00:00:00	8	5	2005	8011823	3039491	PRESERVED_SPECIMEN	W	Herbarium W	2008-0006522		Alijanpoor		CC_BY_4_0		Fayvush,G. [Ֆայվուշի,Գ.; Файвуш Г.], Tamanyan,K., Oganesyan,M., Ter-Voskanyan,H., Staudinger,S., Staudinger,M. & Vitek,E.			2020-04-26T06:27:42.550Z		
